folder,ID,Name,Lat,Lon,Alt,Vbl,Stat,Units,Source,Link,year_start,year_end,n_records,n_unique_years,filepath
Fribourg,FR01_Fribourg,Fribourg,46.807,7.158,627,Tn,min,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1829,1847,6512,19,/scratch3/PALAEO-RA/daily_data/final/Fribourg/CHIMES_Fribourg_18290101-18470929_Tn_daily_qc.tsv
Dublin,ILMMT-Dublin-PhoenixPark,Dublin,53.364,-6.348,46,Tn,minimum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1831,1958,45867,126,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-PhoenixPark_18310118-19581231_Tn_daily_qc.tsv
Herisau,AR01_Herisau_Nef,Herisau,47.385,9.279,770,Tn,min,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1833,1844,3594,11,/scratch3/PALAEO-RA/daily_data/final/Herisau/CHIMES_Herisau_Nef_18330101-18440127_Tn_daily_qc.tsv
Dublin,ILMMT-Dublin-BotanicGardens,Dublin,53.372,-6.721,18,Tn,minimum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1834,1958,39799,111,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-BotanicGardens_18340101-19581231_Tn_daily_qc.tsv
Bevers,GR02_Bevers_Bovelin,Bever,46.55309,9.89009,1708,Tn,min,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1836,1836,61,1,/scratch3/PALAEO-RA/daily_data/final/Bevers/CHIMES_Bevers_Bovelin_18360601-18360731_Tn_daily_qc.tsv
Zurich,ZH01_Zurich_Ulrich,Zürich,47.370000,8.474000,420,Tn,minimum,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1836,1852,4856,14,/scratch3/PALAEO-RA/daily_data/final/Zurich/CHIMES_Zurich_Ulrich_18360101-18521231_Tn_daily_qc.tsv
Dublin,ILMMT-Dublin-TrinityCollege,Dublin,53.344,-6.258,8,Tn,minimum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1840,1959,24896,70,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-TrinityCollege_18400501-19591231_Tn_daily_qc.tsv
Dublin,ILMMT-Dublin-RCS,Dublin,53.339,-6.261,11,Tn,minimum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1841,1857,4349,15,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-RCS_Evans_18411226-18571219_Tn_daily.tsv
Dublin,ILMMT-Dublin-GraftonStreet_Yaetes,Dublin,53.342,-6.259,12,Tn,minimum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1843,1849,2556,7,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-GraftonStreet_Yaetes_18430101-18491231_Tn_daily_qc.tsv
Bern,BE01_Bern_Trechsel,Bern,46.94694,7.450515,548,Tn,min,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1844,1849,1641,5,/scratch3/PALAEO-RA/daily_data/final/Bern/CHIMES_Bern_Trechsel_18440101-18490930_Tn_daily_qc.tsv
