station_source,variable,folder,start,end,span_days,span_years,covered_days,n_files,n_blocks,max_gap_days,blocks,file_list
Extremadura-Valdesevilla,dd,Extremadura,1880-06-12,1883-07-22,1136,3.11,1136,1,1,0,1880-06-12..1883-07-22,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Valdesevilla_18800612-18830722_dd_daily_qc.tsv
Extremadura-Valdesevilla,p,Extremadura,1880-06-12,1883-07-22,1136,3.11,1136,1,1,0,1880-06-12..1883-07-22,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Valdesevilla_18800612-18830722_p_daily_qc.tsv
Extremadura-Valdesevilla,ta,Extremadura,1880-06-12,1883-07-22,1136,3.11,1136,1,1,0,1880-06-12..1883-07-22,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Valdesevilla_18800612-18830722_ta_daily_qc.tsv
Extremadura-Valencia_del_Ventoso,Tn,Extremadura,1882-01-01,1883-11-30,699,1.91,699,1,1,0,1882-01-01..1883-11-30,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Valencia_del_Ventoso_18820101-18831130_Tn_daily_qc.tsv
Extremadura-Valencia_del_Ventoso,Tx,Extremadura,1882-01-01,1883-11-30,699,1.91,699,1,1,0,1882-01-01..1883-11-30,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Valencia_del_Ventoso_18820101-18831130_Tx_daily_qc.tsv
Extremadura-Valencia_del_Ventoso,dd,Extremadura,1882-01-01,1883-11-30,699,1.91,699,1,1,0,1882-01-01..1883-11-30,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Valencia_del_Ventoso_18820101-18831130_dd_subdaily_qc.tsv
Extremadura-Valencia_del_Ventoso,p,Extremadura,1882-01-01,1883-11-30,699,1.91,699,1,1,0,1882-01-01..1883-11-30,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Valencia_del_Ventoso_18820101-18831130_p_subdaily.tsv
Extremadura-Valencia_del_Ventoso,rr,Extremadura,1882-01-01,1883-11-30,699,1.91,699,1,1,0,1882-01-01..1883-11-30,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Valencia_del_Ventoso_18820101-18831130_rr_daily_qc.tsv
Extremadura-Zafra,ta,Extremadura,1826-06-26,1827-08-27,428,1.17,428,1,1,0,1826-06-26..1827-08-27,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Zafra_18260626-18270827_ta_subdaily_qc.tsv
Falun,ta,Falun,1860-01-01,2024-12-31,60266,165.00,60266,1,1,0,1860-01-01..2024-12-31,/scratch3/PALAEO-RA/daily_data/final/Falun/Falun_18600101-20241231_ta_daily.tsv
