station_source,variable,folder,start,end,span_days,span_years,covered_days,n_files,n_blocks,max_gap_days,blocks,file_list
PALAEO-RA_Berlin_Jablonski,dd,Berlin,1725-01-12,1727-01-11,730,2.00,730,1,1,0,1725-01-12..1727-01-11,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Jablonski_17250112-17270111_dd_subdaily_qc.tsv
PALAEO-RA_Berlin_Jablonski,p,Berlin,1725-01-12,1727-01-11,730,2.00,730,1,1,0,1725-01-12..1727-01-11,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Jablonski_17250112-17270111_p_subdaily_qc.tsv
PALAEO-RA_Berlin_Kirch,dd,Berlin,1721-02-17,1734-12-27,5062,13.86,5062,1,1,0,1721-02-17..1734-12-27,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Kirch_17210217-17341227_dd_subdaily_qc.tsv
PALAEO-RA_Berlin_Kirch,p,Berlin,1721-01-23,1774-04-30,19456,53.27,19456,1,1,0,1721-01-23..1774-04-30,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Kirch_17210123-17740430_p_subdaily_qc.tsv
PALAEO-RA_Berlin_Kirch,ta,Berlin,1720-01-01,1774-04-30,19844,54.33,19844,1,1,0,1720-01-01..1774-04-30,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Kirch_17200101-17740430_ta_subdaily_qc.tsv
PALAEO-RA_Berlin_Lambert,p,Berlin,1769-12-16,1777-09-25,2841,7.78,2841,1,1,0,1769-12-16..1777-09-25,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Lambert_17691216-17770925_p_subdaily_qc.tsv
PALAEO-RA_Berlin_Lambert,ta,Berlin,1769-12-16,1777-09-25,2841,7.78,2841,1,1,0,1769-12-16..1777-09-25,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Lambert_17691216-17770925_ta_subdaily_qc.tsv
PALAEO-RA_Berlin_Lenke,ta,Berlin,1709-01-01,1709-04-30,120,0.33,120,1,1,0,1709-01-01..1709-04-30,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Lenke_17090101-17090430_ta_daily.tsv
PALAEO-RA_Boehringen,dd,Boehringen,1763-01-01,1782-05-12,7072,19.36,7072,1,1,0,1763-01-01..1782-05-12,/scratch3/PALAEO-RA/daily_data/final/Boehringen/PALAEO-RA_Boehringen_17630101-17820512_dd_daily_qc.tsv
PALAEO-RA_Boehringen,p,Boehringen,1763-01-01,1782-05-12,7072,19.36,7072,1,1,0,1763-01-01..1782-05-12,/scratch3/PALAEO-RA/daily_data/final/Boehringen/PALAEO-RA_Boehringen_17630101-17820512_p_daily_qc.tsv
PALAEO-RA_Boehringen,ta,Boehringen,1770-01-01,1782-05-12,4515,12.36,4515,1,1,0,1770-01-01..1782-05-12,/scratch3/PALAEO-RA/daily_data/final/Boehringen/PALAEO-RA_Boehringen_17700101-17820512_ta_daily_qc.tsv
PALAEO-RA_Bologna,dd,Bologna,1782-01-01,1792-12-31,4018,11.00,4018,1,1,0,1782-01-01..1792-12-31,/scratch3/PALAEO-RA/daily_data/final/Bologna/PALAEO-RA_Bologna_17820101-17921231_dd_subdaily_qc.tsv
PALAEO-RA_Bologna,p,Bologna,1782-01-14,1792-12-31,4005,10.97,4005,2,1,0,1782-01-14..1792-12-31,/scratch3/PALAEO-RA/daily_data/final/Bologna/PALAEO-RA_Bologna_17820114-17921231_p_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Bologna/PALAEO-RA_Bologna_17870101-17881231_p_daily.tsv
PALAEO-RA_Bologna,rh,Bologna,1787-01-01,1788-12-31,731,2.00,731,1,1,0,1787-01-01..1788-12-31,/scratch3/PALAEO-RA/daily_data/final/Bologna/PALAEO-RA_Bologna_17870101-17881231_rh_daily.tsv
PALAEO-RA_Bologna,rr,Bologna,1782-01-01,1791-12-31,3652,10.00,3652,1,1,0,1782-01-01..1791-12-31,/scratch3/PALAEO-RA/daily_data/final/Bologna/PALAEO-RA_Bologna_17820101-17911231_rr_subdaily_qc.tsv
PALAEO-RA_Bologna,ta,Bologna,1782-01-14,1792-12-31,4005,10.97,4005,2,1,0,1782-01-14..1792-12-31,/scratch3/PALAEO-RA/daily_data/final/Bologna/PALAEO-RA_Bologna_17820114-17921231_ta_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Bologna/PALAEO-RA_Bologna_17870101-17881231_ta_daily.tsv
PALAEO-RA_Bolzano,p,Bolzano,1842-01-01,1849-12-31,2922,8.00,2922,1,1,0,1842-01-01..1849-12-31,/scratch3/PALAEO-RA/daily_data/final/Bolzano/PALAEO-RA_Bolzano_18420101-18491231_p_subdaily_qc.tsv
PALAEO-RA_Bolzano,ta,Bolzano,1842-01-01,1849-12-31,2922,8.00,2922,1,1,0,1842-01-01..1849-12-31,/scratch3/PALAEO-RA/daily_data/final/Bolzano/PALAEO-RA_Bolzano_18420101-18491231_ta_subdaily_qc.tsv
PALAEO-RA_Breslau-Wroclaw,dd,Breslau,1717-07-01,1726-12-31,3471,9.50,3471,1,1,0,1717-07-01..1726-12-31,/scratch3/PALAEO-RA/daily_data/final/Breslau/PALAEO-RA_Breslau-Wroclaw_17170701-17261231_dd_subdaily.tsv
